chunk,rule_number,section,article,text
2,Rule 2 — Officials,Section 1: Designation of Officials,Article 1 – Field Officials,"7 officials    6 officials   5 officials   4 officials   3 officials
R             R             R             R             R
U                 U             U             U             U
FJ               BU            BU
BJ                 BJ
DJ                DJ            DJ            DJ            DJ
LJ                LJ            LJ            LJ
SJ
Field officials will be designated as follows, for various sizes of crews:
Referee (R), Umpire (U), Back Umpire (BU), Back Judge (BJ), Down Judge (DJ), Line Judge (LJ) and Side
Judge (SJ)
Note: The number of officials per game may be from 1 to 7, as specified by the governing authority."
2,Rule 2 — Officials,Section 1: Designation of Officials,Article 2 – Side Line Officials,"i) Downbox Official
ii) Yardstick Official (2 or 3)
iii) Timekeeper
iv) Scorer"
2,Rule 2 — Officials,Section 1: Designation of Officials,Article 3,"The number of officials per game shall be in accordance with the recommendations of the local,
provincial, or national officials’ associations. Responsibilities, positioning, and mechanics are covered in
the CFOA/Football Canada Officials’ Training Manual."
3,Rule 2 — Officials,Section 2: Jurisdiction and Duties,Article 1 – Responsibility,"All field officials are equally responsible for the orderly conduct of the game, and the enforcement of
the rules. No agreement shall be made that would prevent the calling of any foul by any official against
either team.
All field officials, upon recognizing any player who shows signs, symptoms, or behaviors consistent with
a concussion (such as loss of consciousness, headache, dizziness, confusion or balance problems) shall
report their concerns through the Referee to the head coach or appropriate health-care professional."
3,Rule 2 — Officials,Section 2: Jurisdiction and Duties,Article 2 – Equipment,Each field official shall be equipped with a whistle and a «red» coloured marker.
3,Rule 2 — Officials,Section 2: Jurisdiction and Duties,Article 3 – Stoppage of Play,"The sounding of a whistle when the ball is in play shall cause the ball to be ruled dead, and shall stop
the game. The whistle should not be sounded in the event of injury until the ball is dead."
3,Rule 2 — Officials,Section 2: Jurisdiction and Duties,Article 4 – Signal for Infraction,"The throwing of the marker shall indicate an infraction, but play shall continue until the sounding of a
whistle."
3,Rule 2 — Officials,Section 2: Jurisdiction and Duties,Article 5 – Signal to Play,"The Referee shall sound the whistle to indicate that the ball is ready for play, and shall signal that «time
is in» by a downward sweep of the arm from the overhead position."
3,Rule 2 — Officials,Section 2: Jurisdiction and Duties,Article 6 – Out-of-Bounds Marking,The nearest official should mark the out-of-bounds spot when the ball goes out of bounds.
3,Rule 2 — Officials,Section 2: Jurisdiction and Duties,Article 7 – Penalty Signals,All officials should be familiar with the approved signals.
3,Rule 2 — Officials,Section 2: Jurisdiction and Duties,Article 8 – Foul Called,"When a foul is called, the official shall report it to the Referee immediately if the ball is dead, or if the ball
is alive, as soon as it is dead. The Referee shall give a preliminary signal to indicate the nature of the foul."
3,Rule 2 — Officials,Section 2: Jurisdiction and Duties,Article 9 – Foul Reporting,"When a foul has been reported to the Referee, the Referee will indicate the number of the player who
committed the foul, give the penalty signal, assess the penalty, and signal that the ball is again ready for play."
3,Rule 2 — Officials,Section 2: Jurisdiction and Duties,Article 10 – Forward Progress,"When the ball has been whistled dead, the appropriate official shall mark the spot of forward progress
of the ball, which will be the point of the subsequent play."
4,Rule 2 — Officials,Section 3: Referee (R),Article 1 – Responsibility,"The Referee shall take primary charge of the game, and shall guide and direct the work of the other
officials.
The Referee shall apply the rules, and assess the penalties, and rule upon disputes or situations not
covered by the rules. The Referee’s decision on any situation in the game is final.
The Referee may overrule any other official.
The Referee may have removed any of the sideline officials, if the Referee considers it necessary, and
immediately require the replacement of any official so removed.
The Referee shall test the game balls 30 minutes before the game, and the Referee’s decision shall be
final as to the suitability of the balls."
4,Rule 2 — Officials,Section 3: Referee (R),Article 2 – Field Markings,"The Referee shall report any irregularities in field markings, or ground rules, to the captains before the
game, and review these with the other officials before the game."
4,Rule 2 — Officials,Section 3: Referee (R),Article 3 – Options,"The Referee shall explain to the captains of either team any ruling made or penalty assessed. When a
foul is called, the Referee shall explain to the non-offending captain the application of the penalty, or
any option to which the captain is entitled if they refuse the penalty."
4,Rule 2 — Officials,Section 3: Referee (R),Article 4 – Count of Downs,"The Referee shall keep count of the downs, subject to a check with the Down Judge."
4,Rule 2 — Officials,Section 3: Referee (R),Article 5 – Communication,"The Referee shall be the sole means of communication between the officials and the team captains or
coaches."
4,Rule 2 — Officials,Section 3: Referee (R),Article 6 – 3-Minute Warnings,"The Referee shall be notified by the Down Judge or Line Judge, when 3 minutes of play remains in each
half. The Referee shall notify the captains, and the nearest official shall notify the coaches of each team."
4,Rule 2 — Officials,Section 3: Referee (R),Article 7 – End of Period,"The Referee shall indicate that playing time has ended in each period, by sounding the whistle and
signaling to the Timer."
4,Rule 2 — Officials,Section 3: Referee (R),Article 8 – End of Half Time Interval,The Referee shall have the captains of each team warned when 3 minutes remains in the half time interval.
4,Rule 2 — Officials,Section 3: Referee (R),Article 9 – Positioning,"The Referee shall take primary charge of Team A, and shall take a position behind Team A. The Referee is
responsible to determine if the ball is put into play legally, cover the action of the passer and the kicker
and their opponents.
The Referee shall be responsible for marking the out-of-bounds spot when a ball goes out of bounds in
flight.
The Referee shall rule on lateral passes behind the line of scrimmage, and the position of onside players
in an «onside kick» situation."
5,Rule 2 — Officials,Section 4: Umpire (U),Article 1 – Responsibility,"The Umpire shall have primary jurisdiction over the actions of players of both teams on the line of scrimmage, and shall take a position behind the defensive line of Team B."
5,Rule 2 — Officials,Section 4: Umpire (U),Article 2 – Duties,The Umpire shall: a) Supervise the line backers and their use of hands on eligible pass receivers of Team A. b) Cover short forward passes and short kicks over the centre of the line. c) Check that Team A ineligible receivers on the line of scrimmage do not proceed downfield before a forward pass is thrown. (Exception 6.4.5.) d) Assist in coverage of crack-back blocking in the restricted area.
6,Rule 2 — Officials,Section 5: Back Umpire (BU),Article 1 – Responsibility,"The Back Umpire shall have primary jurisdiction over the actions of players of both teams behind the
Team B line, and shall take a position behind the deepest Team B player."
6,Rule 2 — Officials,Section 5: Back Umpire (BU),Article 2 – Duties,"The Back Umpire shall:
a) Cover long passes in the centre of the field and kicks downfield.
b) Rule field goal attempts from outside the 10 yard (metre) line successful or not."
7,Rule 2 — Officials,Section 6: Back Judge (BJ),,The duties of the Back Judge shall be identical with those of the Back Umpire.
8,Rule 2 — Officials,Section 7: Down Judge (DJ),Article 1 – Responsibility,"The Down Judge shall be responsible for the general supervision of the line of scrimmage, the neutral
zone, and the actions of the end and flankers on his/her side of the field. The Down Judge shall take up a
position on the line of scrimmage at a suitable distance in from the sideline on the same side of the field
as the distance chain and Downsbox.
The Down Judge shall be primarily responsible to cover crack-back blocking by players positioned on
their side of the field when the ball is snapped."
8,Rule 2 — Officials,Section 7: Down Judge (DJ),Article 2 – Passes and Kicks,"The Down Judge shall, when appropriate:
a) Cover passes down his/her side of the field.
b) Cover kicks down his/her side of the field."
8,Rule 2 — Officials,Section 7: Down Judge (DJ),Article 3 – Substitutes; 3- and 1-Minute Warning,"The Down Judge shall:
a) Systematically check his/her sideline for substitutes, and ensure legality of substitution procedures.
b) Notify the Referee when 3 minutes remain in each half, after being so notified by the timekeeper.
c) Notify the Referee when 1 minute remains in each period, after being so notified by the timekeeper."
8,Rule 2 — Officials,Section 7: Down Judge (DJ),Article 4 – Control of Minor Officials,"The Down Judge shall:
a) Supervise the Yardstick officials and the Dowbox official in the placement of the distance chain and
Downsbox, under the direction of the Referee.
b) Keep an accurate count of the downs to assist the Referee.
c) Be responsible for changing the position of the distance chain at the end of the 1st and 3rd periods
to the identical spot, at the opposite end of the field, corresponding to the point at which play
ended in that period.
d) When a measure is required by the Referee, mark on the chain the spot corresponding to the far
side of the cross stripe which is farthest from the ball within the span of the distance chain, and
have the Yardstick Official bring the distance chain to the Referee.
e) Check distance applied on penalties."
9,Rule 2 — Officials,Section 8: Line Judge (LJ),Article 1 – Responsibility,"The duties of the Line Judge shall be identical to those of the Down Judge covered in Section 7, Articles 1 to 3 inclusive, only."
10,Rule 2 — Officials,Section 9: Side Judge (SJ),Article 1 – Responsibility,"Positioned on or near the sideline approximately eighteen to twenty yards in advance of the line of
scrimmage. The Side Judge will work the same side of the field as the Down Judge."
11,Rule 2 — Officials,Section 10: Downbox and Yardstick Officials,Article 1 – Control,They shall act under the direction of the Down Judge. The Downsbox and distance chain shall be positioned out of bounds.
