front,back
"How many officials can a game have for the field-crew, and under what condition?

<i>Rule 2 — Officials | Section 1: Designation of Officials | Article 1 – Field Officials</i>","The number of officials per game may be from 1 to 7, as specified by the governing authority."
"Which field officials may be designated, depending on the size of the crew?

<i>Rule 2 — Officials | Section 1: Designation of Officials | Article 1 – Field Officials</i>","Field officials will be designated as follows (for various sizes of crews): Referee (R), Umpire (U), Back Umpire (BU), Back Judge (BJ), Down Judge (DJ), Line Judge (LJ), and Side Judge (SJ)."
"What standard determines the number of officials per game, and what document is referenced for detailed responsibilities and positioning?

<i>Rule 2 — Officials | Section 1: Designation of Officials | Article 3</i>","The number of officials per game shall be in accordance with the recommendations of the local, provincial, or national officials’ associations; responsibilities, positioning, and mechanics are covered in the CFOA/Football Canada Officials’ Training Manual."
"What is the requirement regarding any agreement among field officials about calling fouls?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 1 – Responsibility</i>",No agreement shall be made that would prevent the calling of any foul by any official against either team.
"When must field officials report a player’s possible concussion, and through whom?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 1 – Responsibility</i>","When field officials recognize a player showing signs, symptoms, or behaviors consistent with a concussion (e.g., loss of consciousness, headache, dizziness, confusion, balance problems), they shall report their concerns through the Referee to the head coach or appropriate health-care professional."
"What equipment must each field official have?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 2 – Equipment</i>",Each field official shall be equipped with a whistle and a “red” coloured marker.
"What happens when a whistle is sounded while the ball is in play, and when should it not be sounded for injury?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 3 – Stoppage of Play</i>",Sounding a whistle when the ball is in play causes the ball to be ruled dead and stops the game; the whistle should not be sounded in the event of injury until the ball is dead.
"If the marker is thrown to indicate an infraction, how long does play continue?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 4 – Signal for Infraction</i>","The throwing of the marker indicates an infraction, but play shall continue until the sounding of a whistle."
"How does the Referee signal that time is “in” to start play?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 5 – Signal to Play</i>","The Referee shall sound the whistle to indicate the ball is ready for play, and shall signal that “time is in” by a downward sweep of the arm from the overhead position."
"Who marks the out-of-bounds spot when the ball goes out of bounds, and when?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 6 – Out-of-Bounds Marking</i>",The nearest official should mark the out-of-bounds spot when the ball goes out of bounds.
"What must all officials be familiar with regarding penalty calls?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 7 – Penalty Signals</i>",All officials should be familiar with the approved signals.
"When does the official report a foul to the Referee, depending on whether the ball is dead or alive?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 8 – Foul Called</i>","The official shall report it to the Referee immediately if the ball is dead, or if the ball is alive, as soon as it is dead."
"What does the Referee do immediately after a foul is called (before further foul reporting steps)?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 8 – Foul Called</i>",The Referee shall give a preliminary signal to indicate the nature of the foul.
"After the foul has been reported to the Referee, what sequence of actions does the Referee complete?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 9 – Foul Reporting</i>","The Referee will indicate the number of the player who committed the foul, give the penalty signal, assess the penalty, and signal that the ball is again ready for play."
"When the ball has been whistled dead, what spot must the appropriate official mark, and what does it determine?

<i>Rule 2 | Section 2: Jurisdiction and Duties | Article 10 – Forward Progress</i>","When the ball has been whistled dead, the appropriate official shall mark the spot of forward progress of the ball, which will be the point of the subsequent play."
"Who takes primary charge of the game, and what authority does the Referee have over other officials?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 1 – Responsibility</i>",The Referee shall take primary charge of the game and guide/direct the other officials. The Referee may overrule any other official.
"How does the Referee handle disputes, and how final are the Referee’s decisions?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 1 – Responsibility</i>","The Referee shall apply the rules, assess penalties, and rule upon disputes or situations not covered by the rules. The Referee’s decision on any situation in the game is final."
"Under what condition may the Referee remove a sideline official, and what must happen immediately afterward?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 1 – Responsibility</i>","The Referee may have removed any of the sideline officials if the Referee considers it necessary, and immediately require the replacement of any official so removed."
"When must the Referee test the game balls, and how final is the Referee’s decision about them?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 1 – Responsibility</i>","The Referee shall test the game balls 30 minutes before the game, and the Referee’s decision is final as to the suitability of the balls."
"What should the Referee do about irregularities in field markings or ground rules before the game?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 2 – Field Markings</i>","The Referee shall report any irregularities in field markings, or ground rules, to the captains before the game, and review these with the other officials before the game."
"When a foul is called, what two explanations must the Referee provide to the relevant captains?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 3 – Options</i>","The Referee shall explain to the captains of either team any ruling made or penalty assessed. When a foul is called, the Referee shall explain to the non-offending captain the application of the penalty, or any option to which the captain is entitled if they refuse the penalty."
"Who must the Referee coordinate with to keep the down count?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 4 – Count of Downs</i>","The Referee shall keep count of the downs, subject to a check with the Down Judge."
"What is the Referee’s role in communication between officials and team captains/coaches?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 5 – Communication</i>",The Referee shall be the sole means of communication between the officials and the team captains or coaches.
"How is the Referee notified when 3 minutes remain, and what notifications follow?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 6 – 3-Minute Warnings</i>","The Referee shall be notified by the Down Judge or Line Judge when 3 minutes of play remains in each half. The Referee shall notify the captains, and the nearest official shall notify the coaches of each team."
"How does the Referee indicate that playing time has ended in a period?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 7 – End of Period</i>",The Referee shall indicate that playing time has ended in each period by sounding the whistle and signaling to the Timer.
"What must the Referee do when 3 minutes remain in the half time interval?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 8 – End of Half Time Interval</i>",The Referee shall have the captains of each team warned when 3 minutes remains in the half time interval.
"Where should the Referee position relative to Team A, and what key responsibilities must they cover?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 9 – Positioning</i>","The Referee shall take primary charge of Team A and take a position behind Team A. The Referee is responsible to determine if the ball is put into play legally, cover the action of the passer and the kicker and their opponents."
"When a ball goes out of bounds in flight, what specific action is the Referee responsible for?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 9 – Positioning</i>",The Referee shall be responsible for marking the out-of-bounds spot when a ball goes out of bounds in flight.
"What two calls is the Referee responsible for regarding laterals and onside kick situations?

<i>Rule 2 — Officials | Section 3: Referee (R) | Article 9 – Positioning</i>","The Referee shall rule on lateral passes behind the line of scrimmage, and the position of onside players in an “onside kick” situation."
"What area of play and player actions does the Umpire have primary jurisdiction over?

<i>Rule 2 — Officials | Section 4: Umpire (U) | Article 1 – Responsibility</i>",The Umpire has primary jurisdiction over the actions of players of both teams on the line of scrimmage.
"Where must the Umpire position themselves relative to the defensive line of Team B?

<i>Rule 2 — Officials | Section 4: Umpire (U) | Article 1 – Responsibility</i>",The Umpire shall take a position behind the defensive line of Team B.
"What does the Umpire supervise regarding Team A’s eligible pass receivers and line backers?

<i>Rule 2 — Officials | Section 4: Umpire (U) | Article 2 – Duties</i>",The Umpire shall supervise the line backers and their use of hands on eligible pass receivers of Team A.
"What passes and kicks does the Umpire cover, and over what line area?

<i>Rule 2 — Officials | Section 4: Umpire (U) | Article 2 – Duties</i>",The Umpire shall cover short forward passes and short kicks over the centre of the line.
"Under what condition does the Umpire check Team A’s ineligible receivers on the line of scrimmage?

<i>Rule 2 — Officials | Section 4: Umpire (U) | Article 2 – Duties</i>",The Umpire checks that Team A ineligible receivers on the line of scrimmage do not proceed downfield before a forward pass is thrown (Exception 6.4.5.).
"How does the Umpire assist with crack-back blocking, and where is that restricted area?

<i>Rule 2 — Officials | Section 4: Umpire (U) | Article 2 – Duties</i>",The Umpire shall assist in coverage of crack-back blocking in the restricted area.
"What jurisdiction does the Back Umpire have over player actions?

<i>Rule 2 | Section 5: Back Umpire (BU) | Article 1 – Responsibility</i>",The Back Umpire has primary jurisdiction over the actions of players of both teams behind the Team B line.
"Where must the Back Umpire position himself relative to Team B players?

<i>Rule 2 | Section 5: Back Umpire (BU) | Article 1 – Responsibility</i>",He shall take a position behind the deepest Team B player.
"What passes and kicks is the Back Umpire responsible for covering?

<i>Rule 2 | Section 5: Back Umpire (BU) | Article 2 – Duties</i>",He covers long passes in the centre of the field and kicks downfield.
"Under what condition does the Back Umpire rule field goal attempts, and from what range?

<i>Rule 2 | Section 5: Back Umpire (BU) | Article 2 – Duties</i>","He rules field goal attempts from outside the 10 yard (metre) line, whether successful or not."
"What duties are assigned to the Back Judge compared with another official?

<i>Rule 2 | Section 6: Back Judge (BJ) | Article 1</i>",The duties of the Back Judge shall be identical with those of the Back Umpire.
"What is the Down Judge primarily responsible for covering when the ball is snapped?

<i>Rule 2 — Officials | Section 7: Down Judge (DJ) | Article 1 – Responsibility</i>",Primarily covering crack-back blocking by players positioned on their side of the field when the ball is snapped.
"Where should the Down Judge take position relative to the sideline and which equipment, when setting up at the line of scrimmage?

<i>Rule 2 — Officials | Section 7: Down Judge (DJ) | Article 1 – Responsibility</i>",On the line of scrimmage at a suitable distance in from the sideline on the same side of the field as the distance chain and Downsbox.
"When should the Down Judge cover passes and kicks, and in what direction?

<i>Rule 2 — Officials | Section 7: Down Judge (DJ) | Article 2 – Passes and Kicks</i>","When appropriate, cover passes down his/her side of the field and cover kicks down his/her side of the field."
"What must the Down Judge do regarding substitutes, and what must be checked?

<i>Rule 2 — Officials | Section 7: Down Judge (DJ) | Article 3 – Substitutes; 3- and 1-Minute Warning</i>",Systematically check his/her sideline for substitutes and ensure legality of substitution procedures.
"When the timekeeper notifies the Down Judge, at what times must the Down Judge notify the Referee?

<i>Rule 2 — Officials | Section 7: Down Judge (DJ) | Article 3 – Substitutes; 3- and 1-Minute Warning</i>","When 3 minutes remain in each half, and when 1 minute remains in each period."
"How does the Down Judge assist with the distance chain and Downsbox placement?

<i>Rule 2 — Officials | Section 7: Down Judge (DJ) | Article 4 – Control of Minor Officials</i>","Supervise the Yardstick officials and the Dowbox official in the placement of the distance chain and Downsbox, under the direction of the Referee."
"What must the Down Judge do at the end of the 1st and 3rd periods regarding the distance chain?

<i>Rule 2 — Officials | Section 7: Down Judge (DJ) | Article 4 – Control of Minor Officials</i>","Change the position of the distance chain at the end of the 1st and 3rd periods to the identical spot, at the opposite end of the field, corresponding to the point at which play ended in that period."
"When the Referee requires a measure, what spot must the Down Judge mark on the chain and what must the Yardstick Official do?

<i>Rule 2 — Officials | Section 7: Down Judge (DJ) | Article 4 – Control of Minor Officials</i>","Mark on the chain the spot corresponding to the farthest-from-the-ball cross-stripe farthest from the ball within the span of the distance chain, and have the Yardstick Official bring the distance chain to the Referee."
"What must the Down Judge check after a penalty regarding distance?

<i>Rule 2 — Officials | Section 7: Down Judge (DJ) | Article 4 – Control of Minor Officials</i>",Check distance applied on penalties.
"What are the Line Judge’s duties, and how do they compare to the Down Judge’s duties?

<i>Rule 2 | Section 8: Line Judge (LJ) | Article 1 – Responsibility</i>","The duties of the Line Judge shall be identical to those of the Down Judge covered in Section 7, Articles 1 to 3 inclusive, only."
"Where is the Side Judge positioned relative to the sideline and the line of scrimmage?

<i>Rule 2 | Section 9: Side Judge (SJ) | Article 1 – Responsibility</i>",The Side Judge is positioned on or near the sideline approximately eighteen to twenty yards in advance of the line of scrimmage.
"Which side of the field does the Side Judge work on?

<i>Rule 2 | Section 9: Side Judge (SJ) | Article 1 – Responsibility</i>",The Side Judge will work the same side of the field as the Down Judge.
"Under whose direction must the Downbox and Yardstick Officials act, and where must the Downsbox and distance chain be positioned?

<i>Rule 2 — Officials | Section 10: Downbox and Yardstick Officials | Article 1 – Control</i>",They shall act under the direction of the Down Judge. The Downsbox and distance chain shall be positioned out of bounds.
"What must the Downbox Official do with the Downsbox before the ball is ready to be scrimmaged, and what must be indicated on it?

<i>Rule 2 — Officials | Section 10: Downbox and Yardstick Officials | Article 2 – Downsbox Position</i>","The Downbox Official shall place the Downsbox at the point where the ball is to be scrimmaged, and indicate the number of each down on the Downsbox."
"How are the two Yardstick Officials required to position the distance chain?

<i>Rule 2 — Officials | Section 10: Downbox and Yardstick Officials | Article 3 – Distance Chain Position</i>",The two Yardstick Officials shall place the distance chain as directed by the Down Judge.
"If a 3rd Yardstick Official is used on the sideline opposite the 10 yard (10 metre) objective line, what is the condition for using that marker rod, and what can be recorded?

<i>Rule 2 — Officials | Section 10: Downbox and Yardstick Officials | Article 4 – 3rd Yardstick Official</i>","This marker will not be used to determine whether a first down has been gained. Under the direction of the Referee, penalties may be recorded."
"What information must the Scorer receive before the game, and what must happen with the scoresheet after the game?

<i>Rule 2 — Officials | Section 11: Timekeeper and Scorer | Article 1 – Scoresheet</i>","Prior to the game, the Scorer shall be provided with a complete list of the eligible competing players, including names and correct numbers. The score shall be kept as given by one of the field officials, and the scoresheet presented to the Referee after the game for signature."
"How should the Timekeeper(s) keep time, especially when two timekeepers are appointed?

<i>Rule 2 — Officials | Section 11: Timekeeper and Scorer | Article 2 – Timekeeper’s Responsibility</i>","The Timekeeper (or Timekeepers) shall keep time according to Rule 1 Section 5, following the recognized signals by the officials. If 2 timekeepers are appointed, they shall use one timing device placed between them and operated solely by one of them."
"What must the Timekeeper do if the two timekeepers disagree?

<i>Rule 2 — Officials | Section 11: Timekeeper and Scorer | Article 2 – Timekeeper’s Responsibility</i>","In the event of disagreement, the Referee shall be called immediately to settle any dispute or make any necessary adjustment."
"When must the Timekeeper notify the Down Judge or Line Judge?

<i>Rule 2 — Officials | Section 11: Timekeeper and Scorer | Article 3 – 3-Minute Warning</i>","The Timekeeper shall notify the Down Judge or the Line Judge when 3 minutes remain in the 2nd and 4th periods, and when 1 minute remains in each period."
