chunk,rule_number,section,article,text
2,Rule 1 – Conduct of the Game,Section 1: The Field,Article 1 – Definitions and Markings,"a) The field of play shall be 110 yards (100 metres) long by 65 yards (60 metres) wide. In addition,
there shall be an end zone 20 yards (18.28 metres) long at each end. These areas shall be marked as
shown in the field diagram.
b) Sidelines – the lines marking the sides of the field.
c) Goal Lines – the lines marking the end of the field.
d) Dead Line – the line 20 yards (18.28 metres) behind each goal line and parallel to it.
e) End Zone Sideline – the sideline extended from the goal line to the dead line.
f ) End Zone – the area bounded by the goal line, end zone sidelines, and dead line. The goal line is
part of the end zone.
g) Field of Play – the area bounded by the goal lines and the sidelines."
2,Rule 1 – Conduct of the Game,Section 1: The Field,Article 2 – Boundaries,"The bounds of the playing field are defined as the inside of the sidelines, end zone sidelines, and dead
lines. These boundary lines are out of bounds."
2,Rule 1 – Conduct of the Game,Section 1: The Field,Article 3 – Field Dimension Measurements,All measurements shall be taken from the inside edge of any boundary line.
2,Rule 1 – Conduct of the Game,Section 1: The Field,Article 4 – Distance Lines,"The field of play shall be marked every 5 yards (metres) by lines parallel to the goal line, and extending
completely across the field between the sidelines."
2,Rule 1 – Conduct of the Game,Section 1: The Field,Article 5 – Special Lines,The 35 and 45 yard (30 and 40 metre) lines shall be of double thickness or double lines.
2,Rule 1 – Conduct of the Game,Section 1: The Field,Article 6 – Hash Marks,"Twenty-four yards (22 metres) from each sideline, each 5 yard (metre) stripe shall be marked by a short
cross stripe parallel to the sideline (hash marks)."
2,Rule 1 – Conduct of the Game,Section 1: The Field,Article 7 – Distance Markers,"It is recommended that «markers» be placed opposite each 5 yard (metre) line, indicating the distance
of each line from the goal line toward the centre of the field."
2,Rule 1 – Conduct of the Game,Section 1: The Field,Article 8 – End Zone Markings,"The four intersections of the goal lines and sidelines, and the four intersections of the dead line and the
end zone sidelines, shall be marked only by flexible markers which must be placed at the intersection of
the lines and are considered inbounds.
No rigid or wooden object shall be used in order to preclude injury to players. If any rigid object is
present, it shall be removed before the start of the game.
Only flexible markers shall be used to prevent injury. The markers shall be soft, flexible, four sided
pylons, 4” x 4” (10 cm x 10 cm) with an overall height of 18 inches (46 cm) which may include a two inch
(5 cm) space between the bottom of the pylon and the ground, and be orange or red in colour."
2,Rule 1 – Conduct of the Game,Section 1: The Field,Article 9 – Goal Post Assembly,"The goal post assembly shall consist of 2 vertical goal posts, 18 feet 6 inches (5.64 metres) apart, centred
on the goal line, the mandatory padding specified in paragraph 2 and the crossbar joining them, whose
upper edge is 10 feet (3.05 metres) above the ground. The goal posts shall be at least 20 feet (6.1 metres)
above the ground level. For new installations the goal posts should measure 30 ft (9.1 metres) above
ground level. A wishbone type or single shaft goal post may be used if the height and length of the
crossbar meet the above standards, and the base of the goal post can be up to 110 in. (279.4 cm) behind
the goal line.
For safety reasons, all goal posts must be properly padded with goal post pads meeting manufacturer’s
specifications. It is the responsibility of the home team to provide the padding. In the case of a neutral
field, the participating teams shall decide which team shall be responsible for padding the goal posts.
Note: Goal posts on the goal line are considered to be part of the end zone."
2,Rule 1 – Conduct of the Game,Section 1: The Field,Article 10 – Non-Regulation Fields,"When the length or width of the field is less than regulation, due to running tracks, or other
obstructions, a clear set of boundary lines shall be provided, at least 1 foot (0.3 metres) inside the track,
or obstruction.
If an end zone is less than the required 20 yards (18.28 metres) long, and is enclosed by a track, the dead
line and the end zone sideline shall be clearly marked, at least 1 foot (0.3 metres) inside the curb."
2,Rule 1 – Conduct of the Game,Section 1: The Field,Article 11 – Play,"A play is defined as any legally run scrimmage play (run, pass, kick), a convert attempt or a kick-off,
during both regulation time and overtime."
3,Rule 1 – Conduct of the Game,Section 2: The Ball,Article 1 – Description,"The game is played with a four-panel ball made of pebbled grain leather, enclosing a rubber bladder and tightly inflated to a pressure of not less than 12 1/2 lbs. (85 kilopascals) and not more than 13 1/2 lbs (95 kpa). It shall be in the shape of a prolate spheroid. The circumference of the long axis shall be from 27 3/4 to 28 1/2 inches (700 to 725 mm). Circumference of the short axis shall be from 20 3/4 to 21 3/8 inches (525 to 540 mm). Length of the long axis shall be 10 7/8 to 11 7/16 inches (275 to 290 mm). Weight from 14 to 15 ounces (400 to 425 grams). The Home Team shall provide a league approved ball or balls. The decision of the Referee shall be final as to the suitability of the ball. Age Dimensions Wilson Nike Baden 6-9 Length: 9.5-10” Pee Wee (K2) Size 6 Pee Wee (Size 5) Width: 6-6.5” Diameter: 17.5-18.5” 9 - 12 Length: 9.5 - 10.5” Junior (GST) Size 7 Junior (Size 6) Width: 6-6.5” Diameter: 18.5-19” 12 - 14 Length: 10.5-11” Youth (GST) Size 8 Youth (Size 7) Width: 6.5 - 6.75” Diameter: 19.5” 14+ Length: 11” Official Size 9 Official (Size 9) Width: 7” Diameter: 21” Or other manufactures meeting same specifications as above mentioned balls."
3,Rule 1 – Conduct of the Game,Section 2: The Ball,Article 2 – Day and Night Games,"For day games, the ball shall be of a natural tan in colour. For night games, the ball must be of such colour as will make it clearly visible. In both day and night games, the colour of the ball shall, in no way, closely blend with the colour of the uniforms of the competing teams."
3,Rule 1 – Conduct of the Game,Section 2: The Ball,Article 3 – Wet Day Procedure,"On wet days, it is recommended that at least three balls be available which may be changed at the discretion of the Referee. It is suggested that «ball persons» be used, one on either side of the field, to keep the balls as clean and dry as possible."
4,Rule 1 – Conduct of the Game,Section 3: The Game,Article 1 – Length of Game,"The game shall consist of 60 minutes of actual playing time, divided into 4 periods of 15 minutes each. For players at the High School level or equivalent and below, the game shall consist of 48 minutes of actual playing time, divided into 4 periods of 12 minutes each."
